item_name,item_description,item_price(in AED)
Cheesy Garlic Bread (Vegetarian),"A full mini French loaf topped with dried oregano, garlic butter & mozzarella",29.0
Arancini,(7 pieces) Wild mushroom risotto balls with green peas & mozzarella served with our homemade roasted pomodoro sauce.,42.0
Crispy Calamari,Fried calamari with tartar sauce & lemon wedge.,39.0
Bruschetta (Vegetarian),Toasted baguette served with fresh tomato basil salsa with extra virgin olive oil.,29.0
Caesar Salad (Vegetarian),"Romaine lettuce, croutons, shaved parmesan with classic homemade Caesar dressing.",25.0
Caesar Salad with Grilled Chicken,"Grilled Chicken, Romaine lettuce, croutons, shaved parmesan with classic homemade Caesar dressing.",35.0
Penne Pomodoro,"Penne pasta with extra virgin olive oil, red onion, garlic & chili flakes soffritto, cherry tomatoes, fresh parsley, and grated parmesan cheese.",42.0
Spaghetti Bolognese,Spaghetti tossed in a classic minced beef sauce garnished with fresh parsley & grated parmesan cheese.,42.0
Spaghetti Puttanesca,"Spaghetti pasta in a pomodoro sauce mixed with anchovies, oregano, black olives, capers and chili, garnished with parmesan cheese and parsley.",46.0
Pappardelle Alfredo,"Pappardelle pasta in a cream sauce with marinated lemon thyme grilled chicken breast, mushrooms, grated parmesan cheese and chopped parsley.",60.0
Tagliatelle Sriracha Shrimp,"Tagliatelle pasta with shrimps, cherry tomatoes and baby spinach tossed in a sriracha cream sauce.",65.0
Tuscan Chicken Mac & Cheese,"Grilled Tuscan chicken and macaroni with sundried tomato & spinach in a parmesan & gruyere cheese sauce, topped with chopped parsley.",58.0
Gnocchi Gorgonzola,"Ricotta gnocchi in a gorgonzola cream sauce topped with fresh basil, parmesan cheese and chopped chives.",57.0
Gnocchi Genovese,"Homemade ricotta gnocchi, basil pesto cream sauce, toasted pine nuts and grated parmesan cheese.",62.0
Gnocchi Pomodoro,"Homemade ricotta gnocchi, extra virgin olive oil, onion, garlic & chili flakes soffritto, cherry tomato, fresh parsley and grated parmesan cheese.",54.0
Penne Pomodoro (Vegetarian),"Penne pasta with extra virgin olive oil, red onion, garlic & chili flakes soffritto, cherry tomatoes, fresh parsley, and grated parmesan cheese.",42.0
Gnocchi Gorgonzola (Vegetarian),"Ricotta gnocchi in a gorgonzola cream sauce topped with fresh basil, parmesan cheese and chopped chives.",57.0
Gnocchi Genovese (Vegetarian),"Homemade ricotta gnocchi, basil pesto cream sauce, toasted pine nuts and grated parmesan cheese.",62.0
Gnocchi Pomodoro (Vegetarian),"Homemade ricotta gnocchi, extra virgin olive oil, onion, garlic & chili flakes soffritto, cherry tomato, fresh parsley and grated parmesan cheese.",54.0
Unicorn Mac & Cheese,Macaroni with a choice of sauce.,28.0
Old-fashioned Lemonade (Vegetarian),No description,16.0
Strawberry Lemonade (Vegetarian),No description,16.0
Watermelon Lemonade (Vegetarian),No description,16.0
Pepsi,No description,7.0
Diet Pepsi,No description,7.0
7 Up,No description,7.0
Diet 7 Up,No description,7.0
Mirinda,No description,7.0
Water (Vegetarian),No description,5.0
